Date	Time	Country	Category	Importance	Headline	Source	Market Impact	Affected Market	Ticker	AIRS Relevance	Yesterday vs Today	New Development	Market Regime Impact	IDX Sector Impact	AIRS Watchlist Impact	Event Horizon	Catalyst Risk	Source URL	Verification
15-09-26	Latest	United States	Bonds / Liquidity	HIGH	"US 10-year Treasury yield rises above 5% and hits about 5.03%, highest in nearly two decades"	Reuters	Negative for global risk assets and EM valuation	Global bonds; equities; IDR; EM	—	Global discount-rate shock; important for AIRS Market Regime Engine.	ACCELERATING	"Yield spike driven by inflation, sovereign debt and rate expectations."	RISK-OFF	Growth; property; infrastructure; high-beta small caps	Downgrade setups exposed to high global duration.	Days to weeks	Risk: further yield rise. Catalyst: yield stabilization/reversal.	https://www.reuters.com/world/asia-pacific/bond-selloff-drives-us-benchmark-beyond-5-stocks-rattled-2026-09-15/	"Reuters, 15 Sep 2026"
15-09-26	Latest	China	Economic Data	HIGH	"China August industrial output grows 5.2%, but retail sales rise only 0.4% and fixed-asset investment falls 7.2% in first eight months"	Reuters	Mixed; strong manufacturing but weak domestic demand	China stocks; commodities; Indonesia exporters	ANTM; INCO; MDKA; TINS; PTBA; ADRO	"China demand drives Indonesian metals, coal and commodity-sensitive stocks."	NEW	High-tech production strong; consumption and property remain weak.	MIXED	Mining; metals; commodity exporters	Prefer stocks with company-specific catalysts over broad China-demand bets.	Weeks to months	Risk: weaker China demand. Catalyst: targeted stimulus.	https://www.reuters.com/world/china/chinas-factories-rev-up-slower-consumption-highlights-deepening-economic-2026-09-15/	"Reuters, 15 Sep 2026"
15-09-26	Latest	China	Property / Government Policy	HIGH	China home prices remain weak; new-home prices fall 0.1% in August and 3.0% y/y	Reuters	Negative for property confidence; limits near-term domestic demand	China property; commodities; Indonesia cyclicals	ADRO; PTBA; ANTM; INCO; MAPI	Prolonged China property weakness can weaken commodity demand and regional sentiment.	NEW	Beijing continues structural property reform; broad recovery remains uncertain.	RISK-OFF / MIXED	Mining; metals; consumer cyclicals	Increase China-demand caution for commodity stocks.	Months	Risk: prolonged property contraction. Catalyst: stronger household/consumer stimulus.	https://www.reuters.com/world/china/china-home-prices-keep-falling-property-slump-drags-2026-09-15/	"Reuters, 15 Sep 2026"
15-09-26	Latest	Japan	Central Bank / FX	HIGH	BOJ expected to raise policy rate 25 bps to 1.25%; yen rally faces policy-test risk	Reuters / WSJ	Potential global carry-trade unwind; stronger yen can alter regional capital flows	JPY; Nikkei; global FX; EM capital flows	—	BOJ tightening can amplify global volatility and affect cross-border allocation.	ACCELERATING	Markets increasingly price faster BOJ normalization.	RISK-OFF / VOLATILITY	Broad IDX via foreign flow	Watch foreign-flow reversal in high-beta IDX names.	Days to weeks	Risk: carry unwind. Catalyst: gradual BOJ guidance.	https://www.reuters.com/world/asia-pacific/yen-rally-faces-moment-truth-boj-risks-disappointing-markets-2026-09-15/	"Reuters, 15 Sep 2026"
15-09-26	Latest	Global / Middle East	Geopolitics / Energy	VERY HIGH	Oil rises near $107.55 as Saudi pipeline outage and fresh attacks raise global supply concerns	Reuters	Inflationary; negative for global risk assets; positive for upstream energy	Brent; WTI; inflation; shipping; global stocks	PGEO; MEDC; AKRA; TUGU; energy names	Major cross-asset shock. Can change sector rotation rapidly in IDX.	ACCELERATING	Saudi East-West pipeline remains offline; Hormuz traffic also fell sharply.	RISK-OFF	Energy positive; airlines/transport negative; consumer negative	Increase energy-sector priority but tighten risk on transport/consumer.	Days to months	Risk: wider conflict / prolonged outage. Catalyst: restored pipeline and shipping flows.	https://www.reuters.com/business/energy/oil-prices-rise-saudi-pipeline-outage-fresh-attacks-raise-supply-concerns-2026-09-15/	"Reuters, 15 Sep 2026"
15-09-26	Latest	Global / Russia-Ukraine	Geopolitics	MEDIUM-HIGH	Ukraine signals conditional support for U.S.-backed energy-site ceasefire with Russia	Reuters	Potentially positive for diesel/energy logistics if durable; low near-term certainty	Oil; gas; diesel; shipping; commodities	—	Potential counterweight to Middle East energy shock.	NEW	Ukraine requires confidence that Russia would genuinely stop attacks on energy infrastructure.	MIXED	Energy; transport	Treat as secondary until confirmed operationally.	Days to weeks	Risk: ceasefire failure. Catalyst: verified energy-infrastructure truce.	https://www.reuters.com/commentary/reuters-open-interest/trumps-ukraine-energy-truce-wont-fix-global-diesel-crunch-2026-09-15/	"Reuters, 15 Sep 2026"
15-09-26	Latest	Global	Global Markets	HIGH	Global stocks decline as oil stays above $100 and sovereign yields surge	Reuters	Broad risk-off	MSCI World; Asia; Europe; US futures; EM	IHSG	Direct Market Regime input for today's IDX decision framework.	WORSENING	MSCI World and European shares fell; US futures weaker; Treasury yields hit cycle highs.	RISK-OFF	Broad; strongest pressure on high-beta names	Require stronger setup quality and foreign-flow confirmation.	Immediate	Risk: continued yield/oil shock. Catalyst: geopolitical de-escalation.	https://www.reuters.com/world/asia-pacific/global-markets-global-markets-2026-09-15/	"Reuters, 15 Sep 2026"
15-09-26	Latest	Global	Gold / Safe Haven	MEDIUM	"Spot gold trades around $4,288/oz as investors seek defensive assets amid geopolitical and rate uncertainty"	Reuters	Supportive for gold; signals defensive positioning	Gold; miners; global risk sentiment	ANTM; MDKA	Gold strength can support Indonesian gold-exposed miners but also indicates risk aversion.	FIRM	Gold slightly higher while equities and bitcoin weakened.	DEFENSIVE	Gold miners; broad market sentiment	Positive for gold exposure; do not interpret as broad risk-on.	Days to weeks	Risk: real-yield rebound. Catalyst: deeper geopolitical stress.	https://www.reuters.com/world/asia-pacific/global-markets-global-markets-2026-09-15/	"Reuters, 15 Sep 2026"
15-09-26	DAILY V2 SUMMARY	GLOBAL	AIRS MARKET REGIME	VERY HIGH	Primary regime signal: RISK-OFF	AIRS Macro Daily	Higher oil + US yields + geopolitical escalation + Indonesia fiscal transition	IHSG; IDR; bonds; high-beta equities	IHSG	Use elevated macro penalty. Demand stronger technical and flow confirmation.	WORSENING	US 10Y >5%; Brent >$107; Indonesia finance-minister change; China growth mix weak.	RISK-OFF	Energy relatively favored; banks/property/high-beta more vulnerable	A/A+ only; reduce size on borderline setups.	Immediate	Further oil/yield spike		Derived from cited sources above
15-09-26	DAILY V2 SUMMARY	INDONESIA	IDX SECTOR ROTATION	HIGH	Likely relative winners: energy/exporters; likely laggards: rate-sensitive and import-dependent sectors	AIRS Macro Daily	Potential rotation rather than uniform selloff	IDX sectors	PGEO; MEDC; ANTM; ADRO; PTBA; BBCA; BMRI; CTRA; BSDE; ICBP	Sector bias for stock ranking.	NEW	Oil shock favors upstream; strong USD/high yields pressure rate-sensitive stocks.	RISK-OFF WITH ROTATION	Energy/exporters positive; banks/property/consumer mixed-negative	Raise energy and commodity exporters; require more confirmation for property/high-beta.	Days to weeks	Commodity reversal or further global yield spike		Derived from cited sources above
15-09-26	DAILY V2 SUMMARY	INDONESIA	AIRS WATCHLIST	HIGH	AIRS watchlist action: prioritize flow-confirmed energy/commodity names and defensively positioned large caps	AIRS Macro Daily	Selective opportunities only	Energy; miners; big caps	MEDC; PGEO; ANTM; PTBA; ADRO; BBCA; BMRI	Connects macro regime with user’s Big Cap and Bandar screeners.	NEW	Macro regime favors select commodity exposure but weakens broad risk appetite.	SELECTIVE	Energy/mining > defensive big caps > high-beta cyclicals	Require foreign-flow/Acc-Dist confirmation before entry; avoid chasing oil-driven gaps.	Days to 3 weeks	Risk: violent reversal in oil or yields		AIRS framework interpretation
15-09-26	DAILY V2 SUMMARY	GLOBAL	NEXT CATALYSTS	HIGH	"Next events to monitor: Fed decision, BOJ decision, oil-supply developments, Indonesia fiscal transition, China follow-through"	AIRS Macro Daily	High event risk	Global equities; FX; bonds; commodities; IDX	IHSG	Event-risk calendar for position sizing.	NEW	Central-bank decisions and geopolitical/oil headlines dominate the near-term tape.	HIGH VOLATILITY	Broad	Prefer smaller initial size and avoid oversized positions into key events.	1-5 trading days	Gap risk		Derived from cited sources above
15-09-26	Latest	Indonesia	Banking / Corporate Action	MEDIUM	BBRI completes share buyback program and repurchased 31 million shares worth Rp90.37 billion	IDX Channel	Supportive for shareholder-return narrative and downside support	Banking; IDX Large Caps	BBRI	Relevant for big-cap banking positioning and capital-management signal	NEW	Buyback period 12 Jun-11 Sep 2026 completed; realization Rp90.37 billion.	NEUTRAL / SUPPORTIVE	Banks	Positive secondary catalyst for BBRI but macro remains dominant.	Weeks to months	Risk: macro-driven banking derating outweighs buyback effect	https://www.idxchannel.com/market-news/bri-bbri-buyback-31-juta-saham-senilai-rp9037-miliar	VERIFIED
15-09-26	Latest	Indonesia	Policy Credibility	HIGH	Investor commentary views appointment of Finance Minister Suahasil Nazara as supportive for restoring policy credibility	Reuters	Potential stabilization factor following ministry reshuffle	IDR; Bonds; Equities	BBCA; BBRI; BMRI; BBNI	Offsets part of the earlier negative sentiment from the minister replacement.	IMPROVING	Analysts cited continuity and fiscal-discipline credentials.	NEUTRAL TO POSITIVE	Banks; Broad Market	May reduce risk premium if markets accept continuity narrative.	1-4 weeks	Risk: policy disappointment after transition	https://www.reuters.com/world/asia-pacific/good-move-indonesias-finance-minister-switch-will-ease-investor-jitters-2026-09-14/	VERIFIED
15-09-26	Latest	United States	FX / DXY	HIGH	U.S. dollar index rises as oil-driven inflation concerns and Fed hike expectations strengthen USD	Reuters	Negative for EM assets and capital flows	USD; EM FX; IDX	-	Stronger USD typically pressures risk appetite toward emerging markets.	IMPROVING	Higher Treasury yields and Fed-hike expectations support dollar strength.	RISK-OFF	Broad IDX	Reduce exposure to weak-IDR beneficiaries without clear catalyst.	Days to weeks	Risk: further DXY advance	https://www.reuters.com/world/africa/dollar-near-two-week-high-oil-surge-lifts-yields-fed-hike-bets-2026-09-15/	VERIFIED
